label,mode,backend,oci_runtime,timestamp,process_pss_kb,control_plane_pss_kb,overhead_pss_kb_total,controller_pss_kb,ingress_pss_kb,runtime_pss_kb,k3s_control_plane_pss_kb,app_mem_bytes,system_mem_bytes,host_system_cgroups_bytes,mem_available_before_bytes,mem_available_after_bytes,mem_available_delta_bytes
r20260413+validate+rootless+crun+-idle,k1s,podman,crun,20260413-155512,74826,74826,74826,73543,0,1283,0,0,0,4150603776,29657395200,29646327808,11067392
r20260413+validate+rootless+crun+-pods-1,k1s,podman,crun,20260413-155520,95039,95039,95039,75880,0,19159,0,22659072,0,4150853632,29562650624,29569470464,6819840
r20260413+validate+rootless+crun+-pods-5,k1s,podman,crun,20260413-155529,162954,162954,162954,78548,0,84406,0,112246784,0,4150595584,29317812224,29414420480,96608256
r20260413+validate+rootless+crun+-rollout-2-during,k1s,podman,crun,20260413-155544,187147,187147,187147,78715,0,108432,0,64700416,0,4150603776,29399486464,29453656064,54169600
r20260413+validate+rootless+crun+-rollout-2-post,k1s,podman,crun,20260413-155602,114164,114164,114164,78732,0,35432,0,30203904,0,4151365632,29505560576,29529518080,23957504
r20260413+validate+k1nd+crun+-idle,k1s,docker,runc,20260413-155638,140697,140697,140697,91904,47508,1285,0,0,92282880,4150857728,29571162112,29565636608,5525504
r20260413+validate+k1nd+crun+-pods-1,k1s,docker,runc,20260413-155645,140911,140911,140911,92118,47508,1285,0,21721088,92336128,4150845440,29486329856,29548216320,61886464
r20260413+validate+k1nd+crun+-pods-5,k1s,docker,runc,20260413-155653,141017,141017,141017,92224,47508,1285,0,124456960,92377088,4150849536,29354221568,29360758784,6537216
r20260413+validate+k1nd+crun+-idle,k1s,docker,runc,20260413-155818,141117,141117,141117,92300,47532,1285,0,108175360,92102656,4150595584,29708034048,29458726912,249307136
r20260413+validate+k1nd+crun+-pods-1,k1s,docker,runc,20260413-155825,141087,141087,141087,92270,47532,1285,0,105631744,92139520,4150845440,29467271168,29494378496,27107328
r20260413+validate+k1nd+crun+-pods-5,k1s,docker,runc,20260413-155832,141079,141079,141079,92262,47532,1285,0,210194432,92176384,4150849536,29300473856,29353267200,52793344
r20260413-k1ndcheck+docker+crun+k1nd-idle,k1s,docker,runc,20260413-160224,141785,141785,141785,92448,48052,1285,0,43319296,92819456,4150599680,29598605312,29547610112,50995200
r20260413-k1ndcheck+docker+crun+k1nd-pods-1,k1s,docker,runc,20260413-160233,141857,141857,141857,92520,48052,1285,0,54566912,92860416,4150841344,29520543744,29576007680,55463936
r20260413-k1ndcheck+docker+crun+k1nd-pods-5,k1s,docker,runc,20260413-160246,141785,141785,141785,92448,48052,1285,0,133169152,92921856,4151128064,29425664000,29456736256,31072256
r20260413-k1ndcheck2+docker+crun+k1nd-idle,k1s,docker,runc,20260413-160644,141807,141807,141807,92422,48100,1285,0,0,92753920,4150861824,29584257024,29608259584,24002560
r20260413-k1ndcheck3+docker+crun+k1nd-idle,k1s,docker,runc,20260413-160846,141801,141801,141801,92494,48104,1203,0,0,93196288,4150587392,29594464256,29592498176,1966080
r20260413-k1ndcheck2+docker+crun+k1nd-pods-1,k1s,docker,runc,20260413-160852,142073,142073,142073,92766,48104,1203,0,22953984,93253632,4150865920,29513474048,29588811776,75337728
r20260413-k1ndcheck3+docker+crun+k1nd-pods-1,k1s,docker,runc,20260413-160853,130450,130450,130450,81129,48104,1217,0,22953984,141520896,4151107584,29490151424,29503430656,13279232
r20260413-k1ndcheck2+docker+crun+k1nd-pods-5,k1s,docker,runc,20260413-160900,142071,142071,142071,92764,48104,1203,0,133787648,93319168,4151365632,29317443584,29428088832,110645248
r20260413-k1ndcheck3+docker+crun+k1nd-pods-5,k1s,docker,runc,20260413-160901,142053,142053,142053,92750,48104,1199,0,133779456,95158272,4150861824,29375217664,29422239744,47022080
r20260413-k1ndcheck2+docker+crun+k1nd-rollout-2-during,k1s,docker,runc,20260413-160915,139318,139318,139318,89980,48104,1234,0,71868416,93396992,4150861824,29402927104,29480972288,78045184
r20260413-k1ndcheck3+docker+crun+k1nd-rollout-2-during,k1s,docker,runc,20260413-160915,139316,139316,139316,89978,48104,1234,0,71868416,93396992,4150595584,29403844608,29482106880,78262272
r20260413-k1ndcheck2+docker+crun+k1nd-rollout-2-post,k1s,docker,runc,20260413-160923,139310,139310,139310,89972,48104,1234,0,30441472,93409280,4150865920,29500792832,29542367232,41574400
r20260413-k1ndcheck3+docker+crun+k1nd-rollout-2-post,k1s,docker,runc,20260413-160923,139270,139270,139270,89932,48104,1234,0,30441472,93409280,4151115776,29507543040,29539401728,31858688
r20260413-rootlesscheck+podman+crun+rootless+cg2-idle,k1s,podman,crun,20260413-161008,77797,77797,77797,71948,1959,3890,0,0,0,4151123968,29692661760,29670666240,21995520
r20260413-rootlesscheck+podman+crun+rootless+cg2-pods-1,k1s,podman,crun,20260413-161016,100377,100377,100377,76861,1899,21617,0,22679552,0,4150591488,29592420352,29598302208,5881856
r20260413-rootlesscheck+podman+crun+rootless+cg2-pods-5,k1s,podman,crun,20260413-161024,221868,221868,221868,76864,1783,143221,0,127422464,0,4150865920,29403668480,29417357312,13688832
r20260413-rootlesscheck+podman+crun+rootless+cg2-rollout-2-during,k1s,podman,crun,20260413-161042,117732,117732,117732,77641,1864,38227,0,30183424,0,4150865920,29510455296,29627699200,117243904
r20260413-rootlesscheck+podman+crun+rootless+cg2-rollout-2-post,k1s,podman,crun,20260413-161047,118324,118324,118324,78764,1832,37728,0,30183424,0,4150861824,29618827264,29584625664,34201600
r20260413+podman+crun+rootless+cg2-idle,k1s,podman,crun,20260413-164255,83723,83723,83723,79493,0,4230,0,0,0,4150865920,29711343616,29752172544,40828928
r20260413+podman+crun+rootless+cg2-pods-1,k1s,podman,crun,20260413-164328,101526,101526,101526,80077,0,21449,0,18427904,0,4150591488,29672230912,29701804032,29573120
r20260413+podman+crun+rootless+cg2-pods-5,k1s,podman,crun,20260413-164402,150829,150829,150829,80266,0,70563,0,92778496,0,4151128064,29448851456,29510254592,61403136
r20260413+podman+crun+rootless+cg2-pods-10,k1s,podman,crun,20260413-164438,199614,199614,199614,80698,0,118916,0,186331136,0,4151123968,29050310656,29387837440,337526784
r20260413+podman+crun+rootless+cg2-rollout-2-during,k1s,podman,crun,20260413-164534,119321,119321,119321,80722,0,38599,0,30187520,0,4150865920,29586960384,29624688640,37728256
r20260413+podman+crun+rootless+cg2-rollout-2-post,k1s,podman,crun,20260413-164606,119273,119273,119273,80722,0,38551,0,30187520,0,4151369728,29609558016,29662584832,53026816
r20260413+podman+crun+rootless+cg2-rollout-5-during,k1s,podman,crun,20260413-164720,168008,168008,168008,80722,0,87286,0,75481088,0,4150841344,29363048448,29563326464,200278016
r20260413+podman+crun+rootless+cg2-rollout-5-post,k1s,podman,crun,20260413-164752,167546,167546,167546,80721,0,86825,0,75481088,0,4150865920,29538238464,29597466624,59228160
r20260413+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-164839,256987,256987,256987,72002,0,184985,0,0,0,4150595584,29722882048,29768278016,45395968
r20260413+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260413-164915,315318,315318,315318,72735,0,242583,0,16683008,0,4150603776,29668958208,29709029376,40071168
r20260413+podman+crun+priv+cg2-pods-5,k1s,podman,crun,20260413-164958,262170,262170,262170,72887,0,189283,0,99848192,0,4150595584,29602648064,29599744000,2904064
r20260413+podman+crun+priv+cg2-pods-10,k1s,podman,crun,20260413-165055,257530,257530,257530,73410,0,184120,0,266543104,0,4150595584,29477982208,29500698624,22716416
r20260413-podmanfix+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-173557,247518,247518,247518,74473,0,173045,0,0,0,4150583296,29606420480,29606137856,282624
r20260413-podmanfix+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260413-173616,265415,265415,265415,74473,0,190942,0,0,0,4150865920,29446164480,0,-29446164480
r20260413+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-174020,310580,310580,310580,137991,0,172589,0,0,0,3617234944,29675655168,29669244928,6410240
r20260413+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260413-174045,372442,372442,372442,142215,0,230227,0,16744448,0,3628314624,29575655424,29624451072,48795648
r20260413+podman+crun+priv+cg2-pods-5,k1s,podman,crun,20260413-174110,374715,374715,374715,141671,0,233044,0,100089856,0,3633377280,29480853504,29531447296,50593792
r20260413+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-175224,242045,242045,242045,69579,0,172466,0,0,0,3623153664,29619843072,29608566784,11276288
r20260413+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-180725,243053,243053,243053,70551,0,172502,0,0,0,3625648128,29596459008,29617344512,20885504
r20260413+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260413-180747,304678,304678,304678,74895,0,229783,0,17641472,0,3637575680,29521637376,29586391040,64753664
r20260413+podman+crun+priv+cg2-idle,k1s,podman,crun,20260413-181502,242055,242055,242055,69544,0,172511,0,0,0,3628187648,29583745024,29610045440,26300416
r20260413+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260413-181525,302403,302403,302403,72804,0,229599,0,18567168,0,3640393728,29486923776,29551824896,64901120
r20260413+podman+crun+priv+cg2-pods-5,k1s,podman,crun,20260413-181624,305834,305834,305834,73132,0,232702,0,92643328,0,3645247488,29441363968,29481975808,40611840
