label,mode,backend,oci_runtime,timestamp,process_pss_kb,control_plane_pss_kb,overhead_pss_kb_total,controller_pss_kb,ingress_pss_kb,runtime_pss_kb,k3s_control_plane_pss_kb,app_mem_bytes,system_mem_bytes,host_system_cgroups_bytes,mem_available_before_bytes,mem_available_after_bytes,mem_available_delta_bytes
r20260203-legacy+podman+crun+rootless+cg2-idle,k1s,podman,crun,20260203-frozen,58061,58061,58061,58061,0,0,0,0,0,2149371085,417018675,0,417018675
r20260203-legacy+podman+crun+rootless+cg2-pods-1,k1s,podman,crun,20260203-frozen,75571,75571,75571,75571,0,0,0,19293798,0,2150419661,225653555,0,225653555
r20260203-legacy+podman+crun+rootless+cg2-pods-10,k1s,podman,crun,20260203-frozen,76186,76186,76186,76186,0,0,0,200173158,0,2283274240,104123597,0,104123597
r20260203-legacy+podman+crun+rootless+cg2-pods-5,k1s,podman,crun,20260203-frozen,75878,75878,75878,75878,0,0,0,97727283,0,2148532224,260046848,0,260046848
r20260203-legacy+podman+crun+rootless+cg2-rollout-2-during,k1s,podman,crun,20260203-frozen,76186,76186,76186,76186,0,0,0,30303846,0,2470549914,550187827,0,550187827
r20260203-legacy+podman+crun+rootless+cg2-rollout-2-post,k1s,podman,crun,20260203-frozen,76698,76698,76698,76698,0,0,0,30303846,0,2488899994,206464614,0,206464614
r20260203-legacy+podman+crun+rootless+cg2-rollout-5-during,k1s,podman,crun,20260203-frozen,76595,76595,76595,76595,0,0,0,75707187,0,2498756608,359451853,0,359451853
r20260203-legacy+podman+crun+rootless+cg2-rollout-5-post,k1s,podman,crun,20260203-frozen,76595,76595,76595,76595,0,0,0,75812045,0,2483552256,200173158,0,200173158
r20260203-legacy+podman+crun+priv+cg2-idle,k1s,podman,crun,20260203-frozen,57958,57958,57958,57958,0,0,0,0,0,2156920832,377592218,0,377592218
r20260203-legacy+podman+crun+priv+cg2-pods-1,k1s,podman,crun,20260203-frozen,73728,73728,73728,73728,0,0,0,18769510,0,2190580122,336802611,0,336802611
r20260203-legacy+podman+crun+priv+cg2-pods-10,k1s,podman,crun,20260203-frozen,74342,74342,74342,74342,0,0,0,199544013,0,2197815296,105277030,0,105277030
r20260203-legacy+podman+crun+priv+cg2-pods-5,k1s,podman,crun,20260203-frozen,74035,74035,74035,74035,0,0,0,97307853,0,2194354995,119642522,0,119642522
