container_id,name,pid,mem_current_bytes
e442c20d4fb3,ae-echo-mr-rev2-2,2222510,16883712
1c8be170d9d9,ae-echo-mr-rev2-1,2222396,16883712
8d2516868fc1,ae-echo-mr-rev2-0,2222154,16879616
6d659ed85550,ae-echo-rev6687-0,2221735,17584128
135565b41941,ae-echo-storage-rev1-0,2221608,16896000
55f4cef6995c,ae-echo-del-rev1-0,2221316,524288
baf7e8b58af5,ae-green-rev3-0,2221163,17387520
bc4b223a9888,ae-echo-stateful-rev1-0,2221044,512000
9aa799f090b5,ae-blue-rev3-0,2220729,16887808
989b73aa39e9,music-agent-frontend,0,-1
20f0ac261436,music-agent-persona-api,0,-1
bd1312684d5b,music-agent-migrate,0,-1
055bc363833b,music-agent-postgres,0,-1
d33c2b4d88d9,elastic_keldysh,0,-1
eec2f115e13d,serene_hofstadter,0,-1
4551404b232e,elastic_dijkstra,0,-1
1e08457f2c1d,strange_hellman,0,-1
f567ad2b7e79,practical_ritchie,0,-1
bdc75af89acc,ir-engine_minio_s3,0,-1
85c8209f9750,ir-engine_minikube_db,0,-1
43edbd4b4353,ir-engine_test_db,0,-1
a043d3674518,ir-engine_db,0,-1
a9ace0bc9735,ir-engine_redis,0,-1
