00400000-7ffdbf1a9000 ---p 00000000 00:00 0                              [rollup]
Rss:               81960 kB
Pss:               70144 kB
Pss_Dirty:         65140 kB
Pss_Anon:          65140 kB
Pss_File:           5004 kB
Pss_Shmem:             0 kB
Shared_Clean:      13580 kB
Shared_Dirty:          0 kB
Private_Clean:      3240 kB
Private_Dirty:     65140 kB
Referenced:        81960 kB
Anonymous:         65140 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
