procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 30222616 8278068 14326264    0    0    69  1241 2695    4  1  1 98  0  0  0
 0  0      0 30299092 8278068 14302696    0    0     0    12 1637 3034  1  1 98  0  0  0
 0  0      0 30128344 8278072 14314492    0    0     0 13256 14524 38329  7  4 89  1  0  0
 1  0      0 30088896 8278072 14318824    0    0     0 15352 18713 47082  8  5 85  1  0  0
 1  0      0 30044704 8278096 14316716    0    0     0 19880 18738 47678 11  5 83  1  0  0
 0  0      0 30001972 8278096 14318816    0    0     0  1136 3644 6078  2  1 97  0  0  0
 0  0      0 29988532 8278096 14319188    0    0     0     0 2083 3970  2  1 97  0  0  0
 0  0      0 29999612 8278096 14319316    0    0     0  2340 2936 6934  1  1 98  0  0  0
 0  0      0 29987040 8278096 14318672    0    0     0     0 2067 4407  1  1 98  0  0  0
 0  0      0 29999688 8278096 14318836    0    0     0   252  714  970  1  0 99  0  0  0
 0  0      0 30002240 8278096 14319524    0    0     0  1936 1601 3158  1  1 98  0  0  0
 0  0      0 30005176 8278096 14319508    0    0     0     0 1323 2448  0  1 99  0  0  0
 0  0      0 29999776 8278096 14319700    0    0     0  2312 2568 6595  1  1 98  0  0  0
 0  0      0 29998836 8278096 14319616    0    0     0    16 2228 4613  2  1 97  0  0  0
 0  0      0 30005804 8278096 14319676    0    0     0     0  927 1111  0  0 99  0  0  0
 0  0      0 30019728 8278096 14318640    0    0     0  1664 1665 3184  1  1 98  0  0  0
 0  0      0 30015492 8278096 14319500    0    0     0     4 1466 3294  2  1 98  0  0  0
 0  0      0 30023788 8278096 14319236    0    0     0  2228 2576 6729  2  1 97  0  0  0
 0  0      0 30041460 8278096 14319296    0    0     0     0 1896 4426  1  2 98  0  0  0
 0  0      0 30043252 8278096 14319456    0    0     0     0  699  995  0  0 100  0  0  0
 0  0      0 30021520 8278096 14338408    0    0     0  1176 2586 4638  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 30023072 8278096 14338732    0    0     0     0 2871 7452  3  1 96  0  0  0
 0  0      0 30018268 8278096 14338520    0    0     0  2244 2337 6584  1  1 98  0  0  0
 0  0      0 30013140 8278096 14338640    0    0     0     0 1742 3912  1  1 98  0  0  0
 1  0      0 30012424 8278096 14338704    0    0     0     0  924 1624  1  0 99  0  0  0
 0  0      0 29988152 8278096 14341300    0    0     0   540 5158 9308  6  2 92  0  0  0
 0  0      0 30001188 8278096 14340904    0    0     0     0 1270 2676  1  1 98  0  0  0
 8  0      0 30001344 8278096 14338564    0    0     0  2280 2635 7554  2  1 97  0  0  0
 0  0      0 29986268 8278096 14338876    0    0     0     4 2827 6154  4  1 95  0  0  0
 0  0      0 29962116 8278096 14362108    0    0     0   164 1188 2147  1  0 99  0  0  0
