    PID    PPID COMMAND           RSS
  21523   21522 nvim            1719812
  21525   21523 node            1081244
  23877   23871 nvim            774912
   2625    2410 gnome-shell     773168
  94475    2410 chrome          667688
  22785   22783 node            578900
 984378   94501 chrome          522204
  91450   91342 slack           481668
 626495   94501 chrome          477560
   2095       1 dockerd         420300
1020973 1020429 joplin          411444
  97568   94501 chrome          392604
4062516    2410 nautilus        387356
  96110   94501 chrome          373752
  95713   94501 chrome          370120
  94574   94498 chrome          363036
  98067   94501 chrome          348372
  95491   94501 chrome          321292
  94641   94501 chrome          317276
1020429    2625 joplin          293256
  91333    2625 slack           224828
    735       1 systemd-journal 220572
1995880   94501 chrome          213048
1021183 1020429 joplin          205560
   3200    2625 mutter-x11-fram 195548
1021184 1020429 joplin          193908
  91401   91339 slack           191040
  95100   94501 chrome          187680
  94580   94475 chrome          169212
 833195   94501 chrome          159484
  94787   94501 chrome          157724
  23925   23877 node            154728
 587951    2410 evince          151468
  94994   94501 chrome          145656
   2723    2625 Xwayland        139992
 370003       1 tailscaled      121868
1020933 1020429 joplin          119740
1020895 1020735 joplin          115848
1021253 1020736 joplin          103820
1020735 1020429 joplin          102600
  22783   22782 nvim            102496
1020736 1020429 joplin          102236
1879287    2625 guake           98428
   2532    2410 gnome-remote-de 98232
  95214   94475 chrome          85060
   2793    2552 evolution-alarm 83464
   3158    2410 gsd-xsettings   83044
2003108 2003100 python          81196
  91406   91333 slack           80744
   2699    2410 evolution-sourc 78416
2003558   94501 chrome          74836
2001938 2001880 prometheus      69012
   1367       1 containerd      68256
  24258   24247 codex           67164
  94593   94501 chrome          65348
  91709   91333 slack           65316
  94499   94475 chrome          65024
  94498   94475 chrome          65000
   3138    2410 localsearch-3   52652
   3024    2410 evolution-calen 52532
  91340   91333 slack           51916
  91339   91333 slack           51692
   3270    2410 xdg-desktop-por 47236
   1204       1 snapd           47168
2001946 2001916 caddy           46352
1817802   26850 node            46324
 981169   15630 node            46196
  24247   14096 node            46188
 138999       1 fwupd           45956
   2990    2410 goa-daemon      43344
1817813 1817802 codex           39964
  25026    2410 tmux: server    39752
 112221    2410 python3         36644
   2865    2728 ibus-extension- 34852
 981180  981169 codex           34352
   3079    2410 evolution-addre 30168
2004525 2000503 docker          29884
   4818    2410 tmux: server    29820
   2704    2410 gjs             29308
2004528 2000503 docker          29208
   3348    2410 xdg-desktop-por 29120
   2446    2410 pipewire-pulse  29060
   2920    2410 gjs             28628
   2744    2410 gsd-media-keys  28156
   2747    2410 gsd-power       28140
1020821    2410 snap            28060
  20328   20215 nvim            26804
   2782    2410 gsd-wacom       24888
   2730    2410 gsd-color       24276
2004262 2004203 python          23836
   2739    2410 gsd-keyboard    23808
2003680 2003652 python          23372
2004634 2004607 python          23172
   2687    2410 gnome-shell-cal 23160
2004088 2004062 python          23148
2004744 2004722 python          23100
2004855 2004832 python          23092
2003185 2003156 python          23016
   2440    2410 pipewire        22744
   1229       1 NetworkManager  21156
   2445    2410 wireplumber     20752
   3247    2410 xdg-desktop-por 20320
  94501   94499 chrome          19736
2004085 2000503 python          18724
2004062       1 containerd-shim 18196
2004607       1 containerd-shim 18064
   2875       1 udisksd         17612
2003652       1 containerd-shim 17612
2001916       1 containerd-shim 17376
      1       0 systemd         16272
2004832       1 containerd-shim 16236
2003156       1 containerd-shim 16116
2001880       1 containerd-shim 16020
   2410       1 systemd         16016
2003529       1 containerd-shim 15904
2003761       1 containerd-shim 15860
2004203       1 containerd-shim 15796
2004722       1 containerd-shim 15772
   2552    2410 gnome-session-b 15496
   2485    2481 gnome-session-b 14468
   2888    2410 gsd-printer     14432
   1631       1 colord          14220
  91342   91340 slack           13036
   2764    2410 gsd-smartcard   12788
   3218    2410 ibus-x11        12348
   1272       1 ModemManager    12316
   2324    1391 gdm-session-wor 12216
   2756    2410 gsd-sharing     11728
   1315       1 wpa_supplicant  11588
    774       1 systemd-udevd   11244
   2993    2410 gvfs-udisks2-vo 11128
   1684       1 upowerd         10848
   2749    2410 gsd-print-notif 10780
   1201       1 polkitd         10676
   2728    2410 ibus-daemon     10520
   3175    2544 gvfsd-recent    10272
  60586   23877 tmux: client    10220
  26401   21523 tmux: client    10204
2511318   22783 tmux: client    10096
  26604   25026 zsh              9976
1880907 1879308 tmux: client     9912
   2443    2410 gnome-keyring-d  9788
   2731    2410 gsd-datetime     9548
   1206       1 systemd-logind   9464
  50421   48164 ssh              9412
  49179   47277 ssh              9304
   4756    2410 ssh              9164
  49857   47863 ssh              9136
   2736    2410 gsd-housekeepin  9072
   2773    2410 gsd-sound        8700
   3001    2410 goa-identity-se  8688
   3176    2544 gvfsd-trash      8672
  27855   25026 zsh              8612
  53678   25026 zsh              8460
 112199    2544 gvfsd-network    8412
  21522   12951 nvim             8408
 112209    2544 gvfsd-dnssd      8284
