procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 27519476 7140976 17839668    0    0    64   777 2680    4  1  1 98  0  0  0
 0  0      0 27500032 7140976 17853932    0    0     0   324  898 1113  0  0 99  0  0  0
 0  0      0 27581700 7140976 17787888    0    0     0  2644 1837 5075  1  0 98  0  0  0
 6  0      0 27523328 7140976 17832216    0    0     0     4 2726 7121  2  2 96  0  0  0
 0  0      0 27536032 7140976 17832248    0    0     0     0 1687 3368  1  1 98  0  0  0
 0  0      0 27587884 7140976 17787312    0    0     0     0  528  623  0  0 100  0  0  0
 0  0      0 27593080 7140976 17787312    0    0     0   252  640  837  0  0 100  0  0  0
 0  0      0 27601160 7140976 17787328    0    0     0  2548 1844 5094  1  0 99  0  0  0
 8  0      0 27590008 7140976 17787328    0    0     0     0 2209 5858  1  2 97  0  0  0
 0  0      0 27550244 7140976 17832192    0    0     0    12 1462 3018  1  1 99  0  0  0
 0  0      0 27592448 7140976 17787136    0    0     0     0  536  604  0  0 100  0  0  0
 0  0      0 27590244 7140976 17787136    0    0     0    64  613  698  0  0 100  0  0  0
 0  0      0 27609888 7140976 17787136    0    0     0  2488 1834 5182  1  0 99  0  0  0
 8  0      0 27596800 7140976 17787136    0    0     0     4 2100 5908  1  2 97  0  0  0
 0  0      0 27538884 7140976 17832128    0    0     0     4 1497 3285  1  1 98  0  0  0
 0  0      0 27560256 7140976 17811852    0    0     0   412  823 1127  0  0 99  0  0  0
 0  0      0 27558424 7140976 17811776    0    0     0     0  557  610  0  0 99  0  0  0
 0  0      0 27566820 7140976 17811796    0    0     0  2560 1697 5014  1  0 98  0  0  0
 8  0      0 27560116 7140976 17811768    0    0     0   112 2257 6142  1  2 97  0  0  0
 0  0      0 27523856 7140976 17856760    0    0     0     4 1525 3306  1  1 98  0  0  0
 1  0      0 27534988 7140976 17836388    0    0     0     4  870  984  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 27564444 7140976 17811708    0    0     0     4  522  627  0  0 100  0  0  0
 0  0      0 27587976 7140976 17811724    0    0     0  2676 1904 5526  1  0 98  0  0  0
 7  0      0 27520008 7140976 17856768    0    0     0     0 2283 5774  1  2 97  0  0  0
 1  0      0 27533900 7140976 17842432    0    0     0    24 2367 4397  2  1 97  0  0  0
 0  0      0 27522500 7140976 17856768    0    0     0     4 1048  942  0  0 100  0  0  0
 0  0      0 27565520 7140976 17811712    0    0     0     4  633  818  0  0 100  0  0  0
 0  1      0 27574476 7140976 17811728    0    0     0   948  965 2167  0  0 99  0  0  0
11  0      0 27567748 7140976 17811748    0    0     0  1636 2944 8393  1  2 97  0  0  0
 3  0      0 27522088 7140976 17857188    0    0     0     0 1445 3628  1  1 98  0  0  0
